idc	id	name	initialLevel	maxLevel	level1	level2	level3	lower	upper
a	normal	基本攻撃	1	1	0				
b	chant	詠唱	1	3	0	2	2		
c	fire	ファイア	0	3	2	1	1		firelance,sparkflare,hellfire,meteorimpact,laserblast,framecircle
d	firelance	ファイアランス	0	3	2	2	2	fire	hellfire,laserblast
e	sparkflare	スパークフレア	0	3	2	2	2	fire	hellfire,meteorimpact
f	hellfire	ヘルファイア	0	3	2	2	2	fire,firelance,sparkflare	
g	icebolt	アイスボルト	0	3	2	1	1		icejavelin,freezingwave,blizzardchares,laserblast,gravitycaptcher,icetarget
h	icejavelin	アイスジャベリン	0	3	2	2	2	icebolt	blizzardchares,laserblast
i	freezingwave	フリージングウェイブ	0	3	2	2	2	icebolt	blizzardchares,gravitycaptcher
j	blizzardchares	ブリザードカレス	0	3	2	2	2	icebolt,icejavelin,freezingwave	
k	lightning	ライトニング	0	3	2	1	1		lightningspear,thunderbolt,judgementray,meteorimpact,gravitycaptcher,electricdrive
l	lightningspear	ライトニングスピア	0	3	2	2	2	lightning	judgementray,gravitycaptcher
m	thunderbolt	サンダーボルト	0	3	2	2	2	lightning	judgementray,meteorimpact
n	judgementray	ジャッジメントレイ	0	3	2	2	2	lightning,lightningspear,thunderbolt	
o	meteorimpact	メテオインパクト	0	3	2	2	2	fire,sparkflare,thunderbolt,lightning	
p	laserblast	レーザーブラスト	0	3	2	2	2	fire,firelance,icebolt,icejavelin	
q	gravitycaptcher	グラビティキャプチャ	0	3	2	2	2	icebolt,freezingwave,lightning,lightningspear	
r	electricdrive	エレキドライブ	0	3	1	2	2	lightning	
s	framecircle	フレイムサークル	0	3	1	2	2	fire	
t	icetarget	アイスターゲット	0	3	1	2	2	icebolt	
