idc	id	name	initialLevel	maxLevel	level1	level2	level3	lower	upper
a	normal	基本攻撃	1	1	0				
b	endurepain	エンダーペイン	1	1	0				
c	sonicboom	ソニックブーム	0	3	2	1	1		forceimpact,crumblestorm
d	forceimpact	フォースインパクト	0	3	3	1	1	sonicboom	crumblestorm
e	crumblestorm	クランブルストーム	0	3	3	2	2	forceimpact	
f	blazeslash	ブレイズスラッシュ	0	3	2	1	1		slumattack,guardreinforce,earthstamp,shieldbash
g	slumattack	スラムアタック	0	3	2	1	1	blazeslash	earthstamp
h	earthstamp	アーススタンプ	0	3	2	2	2	slumattack,blazeslash	
i	guardreinforce	ガードレインフォース	0	3	2	1	1	blazeslash	shieldbash,solidwall
j	shieldbash	シールドバッシュ	0	3	2	2	2	guardreinforce,blazeslash	
k	smash	スマッシュ	0	3	2	1	1		strikesmash,behemostail,extendblade,attackreinforce,heavysmash,dragontail,swordrampage,crackbung,assaultedge
l	strikesmash	ストライクスマッシュ	0	3	2	1	1	smash	heavysmash
m	heavysmash	ヘビースマッシュ	0	3	2	2	2	strikesmash,smash	
n	behemostail	ベヒモステイル	0	3	2	1	1	smash	dragontail,crackbung
o	dragontail	ドラゴンテイル	0	3	2	2	2	behemostail,smash	
p	crackbung	クラックバング	0	3	1	2	2	behemostail,smash	
q	extendblade	エクステンブレイド	0	3	2	1	1	smash	swordrampage,assaultedge
r	swordrampage	ソードランページ	0	3	2	2	2	extendblade,smash	
s	assaultedge	アサルトエッジ	0	3	1	2	2	extendblade,smash	
t	attackreinforce	アタックレインフォース	0	3	2	1	1	smash	
u	solidwall	ソリッドウォール	0	3	1	2	2	guardreinforce,blazeslash	
