idc	id	name	initialLevel	maxLevel	level1	level2	level3	lower	upper	description
a	normal	ノーマル	1	1	0					
b	dualstrike	デュアルストライク	0	3	2	1	1		flushstinger,downdrive,finishthrust,shiningcross,obtainprotect,erasemagic,acceleration,vigoraid	
c	flushstinger	フラッシュスティンガー	0	3	3	2	1	dualstrike	finishthrust	
d	downdrive	ダウンドライブ	0	3	2	1	1	dualstrike	finishthrust	
e	finishthrust	フィニッシュスラスト	0	3	2	1	1	dualstrike,flushstinger,downdrive		
f	shiningcross	シャイニングクロス	0	3	2	1	1	dualstrike	obtainprotect,erasemagic,acceleration,vigoraid	
g	obtainprotect	オブテインプロテクト	0	3	1	1	2	dualstrike,shiningcross		
h	erasemagic	イレイスマジック	0	3	1	1	2	dualstrike,shiningcross		
i	acceleration	アクセラレーション	0	3	1	1	2	dualstrike,shiningcross		
j	vigoraid	ヴィガーエイド	0	3	1	1	2	dualstrike,shiningcross		
k	reversekick	リバースキック	0	3	2	1	1		penetratethrust,aerialfall,rapidfendez-vous	
l	penetratethrust	ペネトレイトスラスト	0	3	1	2	3	reversekick	aerialfall,rapidfendez-vous	
m	aerialfall	エリアルフォール	0	3	3	1	1	reversekick,penetratethrust		
n	rapidfendez-vous	ラピッドファンデヴ	0	3	3	1	1	reversekick,penetratethrust		
